1,1
3,1
5,1
7,1
9,1
11,1
13,1
15,1
17,1
19,1
21,1
23,1
25,1
27,1
29,1
31,1
33,1
35,1
37,1
39,1
41,1
43,1
45,1
47,1
49,1
51,1
53,1
55,1
57,1
59,1
61,1
1,2
3,2
5,2
7,2
9,2
11,2
13,2
15,2
17,2
19,2
21,2
23,2
25,2
27,2
29,2
31,2
33,2
35,2
37,2
39,2
41,2
43,2
45,2
47,2
49,2
51,2
53,2
55,2
57,2
59,2
61,2
1,3
3,3
5,3
7,3
9,3
11,3
13,3
15,3
17,3
19,3
21,3
23,3
25,3
27,3
29,3
31,3
33,3
35,3
37,3
39,3
41,3
43,3
45,3
47,3
49,3
51,3
53,3
55,3
57,3
59,3
61,3
1,4
3,4
5,4
7,4
9,4
11,4
13,4
15,4
17,4
19,4
21,4
23,4
25,4
27,4
29,4
31,4
33,4
35,4
37,4
39,4
41,4
43,4
45,4
47,4
49,4
51,4
53,4
55,4
57,4
59,4
61,4
1,5
3,5
5,5
7,5
9,5
11,5
13,5
15,5
17,5
19,5
21,5
23,5
25,5
27,5
29,5
31,5
33,5
35,5
37,5
39,5
41,5
43,5
45,5
47,5
49,5
51,5
53,5
55,5
57,5
59,5
61,5
1,7
3,7
5,7
7,7
9,7
11,7
13,7
15,7
17,7
19,7
21,7
23,7
25,7
27,7
29,7
31,7
33,7
35,7
37,7
39,7
41,7
43,7
45,7
47,7
49,7
51,7
53,7
55,7
57,7
59,7
61,7
1,8
3,8
5,8
7,8
9,8
11,8
13,8
15,8
17,8
19,8
21,8
23,8
25,8
27,8
29,8
31,8
33,8
35,8
37,8
39,8
41,8
43,8
45,8
47,8
49,8
51,8
53,8
55,8
57,8
59,8
61,8
1,9
3,9
5,9
7,9
9,9
11,9
13,9
15,9
17,9
19,9
21,9
23,9
25,9
27,9
29,9
31,9
33,9
35,9
37,9
39,9
41,9
43,9
45,9
47,9
49,9
51,9
53,9
55,9
57,9
59,9
61,9
1,10
3,10
5,10
7,10
9,10
11,10
13,10
15,10
17,10
19,10
21,10
23,10
25,10
27,10
29,10
31,10
33,10
35,10
37,10
39,10
41,10
43,10
45,10
47,10
49,10
51,10
53,10
55,10
57,10
59,10
61,10
1,11
3,11
5,11
7,11
9,11
11,11
13,11
15,11
17,11
19,11
21,11
23,11
25,11
27,11
29,11
31,11
33,11
35,11
37,11
39,11
41,11
43,11
45,11
47,11
49,11
51,11
53,11
55,11
57,11
59,11
61,11
